CH No.,CH6,CH8,,,,
Unit,cm/s2,V,,,,
0,21.70370244,-3.048780732,,Max. acceleration,10.18547517,m/s2
0.02,20.49638537,-3.048780732,,Mass ,2.5,kg
0.04,19.27199512,-2.256097805,,Force,25.46368793,N
0.06,23.5098,-0.85365878,,V,1248.414634,
0.08,19.81101951,1.219511951,,K,0.020396819,
0.1,21.58540976,0.426829024,,,,
0.12,20.37199512,-0.670731951,,,,
0.14,21.16833659,-0.731707561,,,,
0.16,20.7098,-1.890244146,,,,
0.18,20.69150732,-1.646341707,,,,
0.2,21.77199512,-0.85365878,,,,
0.22,23.3598,-1.463414878,,,,
0.24,20.5293122,-3.109756341,,,,
0.26,21.37077561,-3.048780732,,,,
0.28,22.63175122,-3.35365878,,,,
0.3,19.9098,-3.048780732,,,,
0.32,19.72809268,-1.768292927,,,,
0.34,22.02687317,-2.865853902,,,,
0.36,19.18053171,-6.03658561,,,,
0.38,-1018.547517,-1248.414634,,,,
0.4,-501.3267854,-526.7682929,,,,
0.42,-102.2389805,183.719512,,,,
0.44,46.8293122,238.2926827,,,,
0.46,48.44516585,122.621951,,,,
0.48,46.91223902,38.78048756,,,,
0.5,42.25858049,9.390243659,,,,
0.52,35.01101951,-0.304878293,,,,
0.54,25.80248293,-1.585366098,,,,
0.56,15.2695561,-1.646341707,,,,
0.58,15.20858049,-2.560975854,,,,
0.6,9.486629268,-2.134146585,,,,
0.62,10.21345854,-1.03658561,,,,
0.64,14.12809268,-1.280488049,,,,
0.66,19.57565366,-1.951219756,,,,
0.68,26.51711707,-1.707317317,,,,
0.7,33.0000439,-0.85365878,,,,
0.72,33.86467805,-0.487805122,,,,
0.74,35.95736098,-1.219512439,,,,
0.76,34.48297073,-1.463414878,,,,
0.78,30.69882439,1.890243659,,,,
0.8,28.29516585,-5.670731951,,,,
0.82,23.33906829,1.341463171,,,,
0.84,16.72809268,-1.219512439,,,,
0.86,9.373214634,-5.792683171,,,,
0.88,12.05126341,-1.280488049,,,,
0.9,9.358580488,-2.012195366,,,,
0.92,13.98175122,-1.280488049,,,,
0.94,20.17443415,-5.365853902,,,,
0.96,22.05736098,-6.09756122,,,,
0.98,27.86833659,-4.390244146,,,,
1,30.42199512,-12.50000024,,,,
1.02,30.08540976,6.58536561,,,,
1.04,28.5793122,-3.41463439,,,,
1.06,23.73297073,-5.182927073,,,,
1.08,21.06711707,-3.780488049,,,,
1.1,19.74394634,-3.963414878,,,,
1.12,14.13906829,-3.47561,,,,
1.14,10.27565366,-2.500000244,,,,
1.16,6.421995122,-11.34146366,,,,
1.18,8.704921951,2.987804634,,,,
1.2,13.11101951,-1.280488049,,,,
1.22,15.89150732,-2.256097805,,,,
1.24,18.03175122,-3.109756341,,,,
1.26,23.11345854,-1.158536829,,,,
1.28,23.43053171,-2.743902683,,,,
1.3,24.24516585,-1.890244146,,,,
1.32,21.41711707,-0.609756341,,,,
1.34,17.87687317,-0.182927073,,,,
1.36,15.16833659,-1.09756122,,,,
1.38,10.74516585,-0.365853902,,,,
1.4,13.13662927,-1.158536829,,,,
1.42,13.69638537,-0.548780732,,,,
1.44,9.979312195,-2.012195366,,,,
1.46,9.578092683,-3.231707561,,,,
1.48,14.65248293,-3.658536829,,,,
1.5,15.31101951,-4.695122195,,,,
1.52,19.23175122,-2.987805122,,,,
