ID No.,PCD-400A,
Title,,
Test Date,4/9/2026,16:34:01
MEAS CHs,2,
Digital Input,OFF,
Sampling Rate(Hz),50,
Data Nos/CH,9855,
MEAS Time(sec),197.1,
CH Name,,
CH No.,CH6,CH8
Range,5000,5
Calibration Coefficient,2,100000
Offset,854.5598,-15.97561
Unit,cm/s2,V
0,11.67199512,-0.97561
0.02,12.47687317,-0.487805122
0.04,11.81833659,-1.951219756
0.06,14.52321463,-0.731707561
0.08,12.13175122,-0.792683171
0.1,11.30614146,-0.060975854
0.12,12.2402878,0.609755854
0.14,13.3902878,1.58536561
0.16,13.39272683,0.609755854
0.18,10.10492195,-0.97561
0.2,12.23906829,-1.03658561
0.22,11.83419024,-0.121951463
0.24,15.54760488,0.731707073
0.26,13.6000439,1.40243878
0.28,11.72687317,-1.341463659
0.3,12.31101951,-2.256097805
0.32,10.6195561,-1.768292927
0.34,15.4598,-1.341463659
0.36,11.85370244,1.40243878
0.38,10.43662927,1.158536341
0.4,10.3695561,-1.09756122
0.42,8.952482927,-1.829268537
0.44,12.46711707,-1.890244146
0.46,9.978092683,-2.134146585
0.48,7.575653659,-2.621951463
0.5,8.371995122,-3.35365878
0.52,12.53540976,-3.963414878
0.54,11.37199512,-3.35365878
0.56,9.621995122,-3.658536829
0.58,10.54272683,-1.768292927
0.6,11.13662927,-1.341463659
0.62,12.37077561,-1.280488049
0.64,10.55126341,-2.195122195
0.66,11.27443415,-2.134146585
0.68,10.9902878,-3.109756341
0.7,10.62199512,-2.134146585
0.72,11.42443415,0.060975366
0.74,10.94150732,0.975609512
0.76,10.7293122,0.365853415
0.78,10.34272683,-0.85365878
0.8,12.43906829,-0.609756341
0.82,11.41467805,-0.182927073
0.84,9.5598,1.52439
0.86,11.97687317,0.731707073
0.88,11.59882439,0.243902195
0.9,9.636629268,-0.85365878
0.92,8.036629268,-2.560975854
0.94,-398.0121512,-727.5609759
0.96,-85.71215122,-152.073171
0.98,-32.85239512,128.1097559
1,7.676873171,136.4024388
1.02,9.653702439,51.40243878
1.04,10.46101951,13.71951195
1.06,15.11345854,2.256097317
1.08,15.36101951,-0.060975854
1.1,18.38540976,-2.195122195
1.12,18.78053171,-2.073170976
1.14,22.69516585,-2.134146585
1.16,23.05858049,-1.829268537
1.18,23.66711707,-0.548780732
1.2,21.35248293,-0.060975854
1.22,21.3000439,-0.731707561
1.24,17.36833659,-0.670731951
1.26,13.6402878,-1.768292927
1.28,12.37687317,-2.439024634
1.3,7.752482927,-2.073170976
1.32,10.14516585,-1.280488049
1.34,8.780531707,0.365853415
1.36,10.19882439,0.365853415
1.38,11.63053171,-2.44E-07
1.4,7.361019512,-1.463414878
1.42,12.72199512,-1.219512439
1.44,11.81223902,0.609755854
1.46,8.465897561,0.548780244
1.48,11.5098,1.158536341
1.5,9.645165854,-0.731707561
1.52,6.63175122,-3.35365878
1.54,7.561019512,-1.951219756
1.56,5.371995122,-0.85365878
1.58,4.000043902,-0.548780732
1.6,6.232970732,-1.09756122
1.62,2.389068293,-1.402439268
1.64,5.664678049,-2.500000244
1.66,3.895165854,-2.012195366
1.68,4.639068293,-2.317073415
1.7,7.49882439,-2.317073415
1.72,7.034190244,-1.768292927
1.74,8.623214634,-3.109756341
1.76,9.140287805,-4.024390488
1.78,10.26467805,-3.658536829
1.8,7.808580488,-3.902439268
1.82,5.875653659,-3.41463439
1.84,8.682970732,-1.951219756
1.86,7.793946341,-3.292683171
1.88,6.082970732,-4.939024634
1.9,7.239068293,-3.780488049
1.92,7.165897561,-3.35365878
1.94,7.715897561,-0.609756341
1.96,9.785409756,-2.44E-07
1.98,8.297604878,-1.280488049
2,11.86833659,-0.609756341
2.02,12.62565366,-0.792683171
2.04,14.80858049,-0.487805122
2.06,12.14760488,0.182926585
2.08,12.17443415,0.792682683
2.1,12.10370244,-1.03658561
2.12,12.2000439,-1.768292927
2.14,15.0293122,-1.09756122
2.16,13.9195561,-0.97561
2.18,15.55736098,-2.44E-07
2.2,12.55858049,0.182926585
2.22,13.29150732,-0.85365878
2.24,14.38297073,-1.768292927
2.26,13.2695561,-1.951219756
2.28,13.4598,-1.463414878
2.3,17.40126341,-1.219512439
2.32,17.83662927,-2.012195366
2.34,15.66101951,-2.378049024
2.36,14.79882439,-2.560975854
2.38,14.7902878,-1.585366098
2.4,11.05614146,-2.073170976
2.42,13.05126341,-0.426829512
2.44,11.77565366,0.792682683
2.46,13.18419024,-0.670731951
2.48,11.63784878,1.158536341
2.5,12.87077561,-0.304878293
2.52,10.22443415,-0.97561
2.54,10.79882439,0.060975366
2.56,13.05858049,1.280487561
2.58,11.90248293,-2.44E-07
2.6,12.82077561,-0.91463439
2.62,11.74882439,-0.91463439
2.64,11.97077561,-0.243902683
2.66,13.4695561,-0.121951463
2.68,12.50370244,-2.44E-07
2.7,11.3793122,-1.829268537
2.72,9.896385366,-1.951219756
2.74,13.43175122,-2.987805122
2.76,12.44272683,-1.829268537
2.78,11.5500439,-0.426829512
2.8,9.930531707,-1.341463659
2.82,14.69882439,-2.195122195
2.84,11.22809268,-2.317073415
2.86,13.06467805,-3.53658561
2.88,11.79638537,-2.012195366
2.9,12.44882439,-1.585366098
2.92,12.11223902,-3.170731951
2.94,12.59516585,-2.926829512
2.96,12.42565366,-2.621951463
2.98,11.38175122,-3.963414878
3,11.93175122,-2.743902683
3.02,11.47565366,-1.768292927
3.04,11.95614146,-0.304878293
3.06,12.34272683,-1.158536829
3.08,13.7793122,-2.256097805
3.1,11.97077561,-2.865853902
3.12,13.07321463,-2.012195366
3.14,14.19394634,0.487804634
3.16,9.700043902,-0.182927073
3.18,10.2098,0.121950976
3.2,9.197604878,-0.670731951
3.22,12.2000439,-1.341463659
3.24,8.886629268,-1.585366098
3.26,10.09760488,-1.402439268
3.28,9.503702439,-2.500000244
3.3,9.786629268,-1.707317317
3.32,9.885409756,-2.012195366
3.34,8.035409756,-2.073170976
3.36,8.808580488,-1.280488049
3.38,10.49272683,-1.219512439
3.4,12.03297073,-0.731707561
3.42,8.032970732,-0.792683171
3.44,11.94760488,-1.768292927
3.46,9.841507317,-2.987805122
3.48,10.31101951,-1.890244146
3.5,10.15614146,-1.158536829
3.52,9.419556098,-3.170731951
3.54,11.52565366,-2.317073415
3.56,9.530531707,-3.109756341
3.58,11.82687317,-3.841463659
3.6,9.436629268,-4.207317317
3.62,10.68906829,-3.963414878
3.64,8.474434146,-2.804878293
3.66,9.867117073,-0.792683171
3.68,10.46833659,-1.585366098
3.7,10.60126341,-3.841463659
3.72,13.13297073,-2.500000244
3.74,12.93175122,-2.073170976
3.76,11.95736098,-1.524390488
3.78,11.16345854,0.548780244
3.8,12.51223902,-1.09756122
3.82,13.41101951,-1.280488049
3.84,15.9695561,-0.670731951
3.86,14.49150732,-1.158536829
3.88,14.64394634,-0.426829512
3.9,14.79394634,1.036585122
3.92,14.77077561,-2.012195366
3.94,13.36833659,-2.804878293
3.96,14.28297073,-1.707317317
3.98,16.26223902,-1.951219756
4,13.92199512,-1.524390488
4.02,16.91345854,-1.402439268
4.04,15.8000439,-3.292683171
4.06,13.9598,-3.231707561
4.08,13.85614146,-3.780488049
4.1,13.51101951,-4.756097805
4.12,12.1293122,-3.048780732
4.14,13.2195561,-1.646341707
4.16,16.30248293,-2.134146585
4.18,14.8098,-1.585366098
4.2,11.07321463,-0.85365878
4.22,9.190287805,-1.707317317
4.24,14.78297073,-1.219512439
4.26,13.29516585,0.609755854
4.28,11.60614146,-1.280488049
4.3,11.35614146,-0.91463439
4.32,13.19760488,-1.707317317
4.34,13.24638537,-1.707317317
4.36,12.76467805,-1.280488049
4.38,11.89150732,0.975609512
4.4,10.78297073,-0.365853902
4.42,12.79150732,-0.91463439
4.44,9.547604878,-1.341463659
4.46,10.78784878,-1.280488049
4.48,10.59638537,-0.731707561
4.5,11.51833659,0.304877805
4.52,10.29272683,-0.243902683
4.54,13.18784878,-0.85365878
4.56,10.94516585,-1.707317317
4.58,9.813458537,-0.85365878
4.6,12.0000439,-0.426829512
4.62,9.008580488,-2.44E-07
4.64,12.65614146,-1.341463659
4.66,6.551263415,-1.829268537
4.68,11.41345854,-3.231707561
4.7,10.11345854,-1.890244146
4.72,12.76467805,-1.219512439
4.74,12.0793122,-0.91463439
4.76,9.015897561,-1.463414878
4.78,7.847604878,-1.768292927
4.8,11.70126341,-2.500000244
4.82,7.489068293,-1.707317317
4.84,10.73662927,-0.85365878
4.86,9.515897561,-0.304878293
4.88,6.350043902,-2.012195366
4.9,9.490287805,-1.463414878
4.92,9.221995122,-2.378049024
4.94,13.73419024,-2.256097805
4.96,10.75248293,-0.548780732
4.98,9.819556098,0.060975366
5,11.1695561,0.487804634
5.02,12.72809268,0.609755854
5.04,10.2902878,0.792682683
5.06,13.06467805,-0.060975854
5.08,12.23540976,0.121950976
5.1,13.8500439,-0.121951463
5.12,14.43297073,0.365853415
5.14,11.60858049,-0.365853902
5.16,10.61345854,-1.524390488
5.18,13.82565366,-1.707317317
5.2,13.13053171,-0.85365878
5.22,13.91345854,-0.487805122
5.24,12.23784878,0.426829024
5.26,12.37077561,-0.182927073
5.28,13.54638537,-2.743902683
5.3,13.49272683,-2.378049024
5.32,11.96345854,-0.97561
5.34,12.32321463,-1.768292927
5.36,12.3000439,-1.219512439
5.38,13.41711707,-0.548780732
5.4,14.12565366,-1.585366098
5.42,13.3793122,-1.890244146
5.44,12.11833659,-1.03658561
5.46,15.41711707,-1.280488049
5.48,13.34394634,0.060975366
5.5,16.00248293,0.182926585
5.52,13.03419024,-1.768292927
5.54,18.49516585,-1.890244146
5.56,12.85492195,-2.743902683
5.58,14.07809268,-3.231707561
5.6,15.83175122,-1.09756122
5.62,15.45370244,-1.341463659
5.64,14.44394634,-2.865853902
5.66,11.87565366,-2.439024634
5.68,11.2902878,-1.09756122
5.7,12.93784878,-2.012195366
5.72,11.37687317,-1.158536829
5.74,11.11101951,-2.256097805
5.76,12.74882439,-3.47561
5.78,11.92199512,-2.439024634
5.8,11.15370244,-2.987805122
5.82,13.4500439,-2.256097805
5.84,13.11589756,-0.548780732
5.86,10.73906829,-1.158536829
5.88,10.55126341,-2.621951463
5.9,9.902482927,-2.317073415
5.92,12.22687317,-1.524390488
5.94,10.52687317,-1.402439268
5.96,9.936629268,-0.548780732
5.98,10.78662927,-1.585366098
6,8.080531707,-3.109756341
6.02,8.384190244,-2.134146585
6.04,12.03784878,-2.073170976
6.06,9.341507317,-1.158536829
6.08,6.851263415,-0.731707561
6.1,9.98175122,-0.609756341
6.12,10.76467805,-1.524390488
6.14,7.718336585,-0.731707561
6.16,6.868336585,-1.402439268
6.18,11.42565366,-0.670731951
6.2,7.240287805,0.243902195
6.22,8.93175122,0.975609512
6.24,8.693946341,0.853658293
6.26,11.02443415,0.426829024
6.28,7.002482927,-0.182927073
6.3,11.9402878,0.548780244
6.32,9.602482927,1.52439
6.34,12.05614146,0.914633902
6.36,10.84272683,-0.487805122
6.38,12.58175122,-0.365853902
6.4,11.87199512,-1.280488049
6.42,14.87809268,-0.426829512
6.44,10.66589756,-2.44E-07
6.46,14.16101951,-0.182927073
6.48,12.3195561,-1.158536829
6.5,12.77199512,-1.646341707
6.52,12.05492195,-1.768292927
6.54,10.09638537,-1.646341707
6.56,12.57443415,-1.280488049
6.58,14.04516585,-1.09756122
6.6,10.30736098,-0.365853902
6.62,10.68906829,-0.85365878
6.64,11.42565366,-1.890244146
6.66,11.1793122,-1.219512439
6.68,9.923214634,-0.670731951
6.7,13.17077561,-1.158536829
6.72,16.05126341,-1.646341707
6.74,14.22321463,-2.195122195
6.76,12.64516585,-2.134146585
6.78,15.70126341,-1.158536829
6.8,13.99638537,0.121950976
6.82,15.28053171,0.548780244
6.84,15.23540976,1.036585122
6.86,12.90370244,-0.487805122
6.88,14.47077561,-1.463414878
6.9,14.22199512,0.182926585
6.92,13.2402878,-0.426829512
6.94,14.40248293,0.365853415
6.96,13.94272683,0.914633902
6.98,12.24516585,-1.03658561
7,13.44150732,-2.195122195
7.02,13.6293122,-0.792683171
7.04,13.60736098,-1.280488049
7.06,13.39882439,-1.768292927
7.08,14.48053171,0.060975366
7.1,13.79882439,-2.317073415
7.12,14.00736098,-1.402439268
7.14,12.79638537,-1.524390488
7.16,12.31467805,-2.073170976
7.18,13.99150732,-3.59756122
7.2,11.2902878,-2.378049024
7.22,13.2500439,-3.47561
7.24,8.719556098,-3.109756341
7.26,11.18053171,-2.134146585
7.28,14.91101951,-1.585366098
7.3,11.93784878,-1.280488049
7.32,10.61589756,-1.890244146
7.34,9.43175122,-2.621951463
7.36,10.6500439,-2.926829512
7.38,10.23540976,-1.158536829
7.4,9.985409756,-2.012195366
7.42,10.12687317,-0.487805122
7.44,11.23053171,-0.548780732
7.46,8.664678049,-1.03658561
7.48,9.173214634,-0.85365878
7.5,8.557360976,-0.670731951
7.52,6.318336585,-0.060975854
7.54,7.718336585,0.426829024
7.56,7.267117073,0.609755854
7.58,9.642726829,-0.731707561
7.6,8.43784878,-1.890244146
7.62,11.28419024,-1.646341707
7.64,7.99882439,-2.256097805
7.66,7.98175122,-0.060975854
7.68,7.991507317,0.304877805
7.7,11.15736098,-0.548780732
7.72,7.764678049,-1.402439268
7.74,7.279312195,-1.280488049
7.76,7.578092683,-0.97561
7.78,9.064678049,-0.121951463
