ID No.,PCD-400A,,,,
Title,,,,,
Test Date,4/9/2026,15:46:59,,,
MEAS CHs,5,,,,
Digital Input,OFF,,,,
Sampling Rate(Hz),50,,,,
Data Nos/CH,9028,,,,
MEAS Time(sec),180.56,,,,
CH Name,,,,,
CH No.,CH2,CH3,CH5,CH6,CH8
Range,2000,1000,5000,5000,5
Calibration Coefficient,2.022,2.45,2.132,2,100000
Offset,-105.9434,-1020.512,-55.6634,868.4366,-12.62195
Unit,cm/s2,cm/s2,cm/s2,cm/s2,V
0,-1.778343902,2.910365854,1.3403,2.460990244,3.170732927
0.02,-2.413547805,1.863737805,0.3016,3.237819512,2.743903659
0.04,-1.292570732,2.568262195,-0.2717,4.284160976,2.31707439
0.06,-0.35456,1.513865854,-0.065,4.268307317,3.231708537
0.08,-0.575993659,0.96022561,-0.7566,4.65855122,2.43902561
0.1,-0.409795122,0.468731707,1.2753,5.067087805,3.231708537
0.12,0.01581122,0.786335366,0.7592,5.504892683,3.475610976
0.14,-0.466016585,0.442737805,3.1629,1.969526829,3.658537805
0.16,-1.03513561,0.270640244,4.8152,4.928063415,3.597562195
0.18,-0.557746341,-0.453902439,4.1561,5.634160976,2.743903659
0.2,0.843351707,0.024146341,3.6868,5.003673171,1.890245122
0.22,0.311220488,-0.324530488,1.2233,7.612209756,5.00000122
0.24,-1.396136585,-1.320067073,2.1476,3.706112195,2.43902561
0.26,-2.402204878,-1.959158537,13.546,1.935380488,-921.524389
0.28,-2.35634,-7.055457317,9.6252,3.92562439,257.682928
0.3,1.522940976,-8.022310976,-8.6788,6.319526829,227.9268305
0.32,8.545199024,3.609810976,-3.9338,3.420746341,118.3536598
0.34,1.949533659,7.860262195,-1.7407,7.132941463,40.60975732
0.36,-13.77077659,1.271256098,-5.3001,2.44757561,12.37805
0.38,-9.271086829,3.050493902,5.7603,4.119526829,9.451220732
0.4,-4.180578537,17.64382927,5.1207,3.76464878,4.207318293
0.42,-2.406643415,5.677969512,-5.2741,2.468307317,4.207318293
0.44,-1.414877073,-9.388335366,-14.2493,4.465868293,3.658537805
0.46,4.792662927,-0.677689024,-8.7737,2.86464878,3.536586585
0.48,6.017205854,11.5842622,1.7641,4.281721951,3.597562195
0.5,-7.395065366,1.11379878,3.5594,5.953673171,4.695123171
0.52,-13.39448732,-4.440231707,3.8558,5.945136585,3.475610976
0.54,-5.53088,8.640676829,6.7782,3.30855122,0.243903659
0.56,5.68431561,4.879628049,6.9771,4.368307317,0.792684146
0.58,1.045058537,-9.931219512,-2.769,2.167087805,0.792684146
0.6,1.95742439,-13.39707317,-7.2462,1.49757561,1.097562195
0.62,12.28984439,-0.736847561,5.5887,3.390258537,2.987806098
0.64,3.394523902,4.148213415,9.7383,2.710990244,2.926830488
0.66,-13.16269707,-3.525365854,10.3012,3.845136585,0.792684146
0.68,-9.130533171,-3.675054878,10.374,5.704892683,2.134147561
0.7,2.794335122,6.182609756,10.062,4.560990244,1.646342683
0.72,5.700590244,1.163695122,1.2974,5.687819512,1.280489024
0.74,0.318618049,-12.06421341,-11.6272,4.3366,2.682928049
0.76,4.591449268,-3.414219512,0.2379,4.352453659,2.25609878
0.78,1.712811707,11.22094512,1.547,1.579282927,1.829269512
0.8,-5.986076585,7.141993902,4.4954,3.906112195,2.926830488
0.82,-16.63363268,0.305,1.976,5.021965854,3.048781707
0.84,-5.321282439,8.035646341,1.1076,5.006112195,3.414635366
0.86,5.211364878,9.812493902,0.9555,2.656112195,5.853659756
0.88,2.067401463,-1.554310976,-11.4088,2.946356098,4.87805
0.9,-0.98779122,-6.050060976,-15.4895,3.753673171,3.841464634
0.92,2.263190244,6.238481707,-1.313,6.453673171,3.475610976
0.94,-0.968557561,12.38947561,6.8848,3.021965854,3.231708537
0.96,-15.70647171,1.966817073,5.551,5.169526829,3.963415854
0.98,-8.859289268,-2.562695122,3.9156,4.330502439,5.548781707
1,5.273997561,3.478646341,0.9841,4.880502439,3.597562195
1.02,7.280709268,1.387481707,-2.9419,5.387819512,3.231708537
1.04,1.919943415,-13.366,-2.652,4.101234146,2.43902561
1.06,2.849570244,-7.323164634,-2.0254,2.157331707,2.37805
1.08,3.272710732,6.354408537,14.1401,4.262209756,2.865854878
1.1,-5.942677561,3.450262195,14.6861,3.526843902,2.37805
1.12,-10.90792049,-6.976579268,9.3899,2.659770732,2.682928049
1.14,-0.566130244,-2.774829268,5.5718,3.804892683,2.987806098
