"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:54:47"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9120
"MEAS Time(sec)",182.4
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
0.00,-1.29802878048781,1.94206097560959,1.1414,-0.397568292682877,1.52439195121951
0.02,-1.63634390243904,1.48283536585359,1.5275,-3.30732439024393,1.7073187804878
0.04,-0.497119512195127,0.486999999999853,3.4242,-0.558543902439055,1.28048951219512
0.06,-0.740252682926837,0.364798780487718,2.3699,-0.0646414634146595,0.426830975609755
0.08,0.301323902439009,0.156249999999773,0.1404,-0.756104878048745,2.31707487804878
0.10,-2.28584975609758,1.59726829268288,-1.3299,0.442675609756066,1.28048951219512
0.12,-1.53918926829269,0.930987804877986,0.0532999999999983,-3.65244634146336,1.7682943902439
0.14,-1.88194292682928,2.25339024390223,3.1291,-1.5329341463414,2.56097731707317
0.16,-1.33452341463416,1.66001219512191,0.185899999999998,-0.99878780487802,1.52439195121951
0.18,-0.902505853658553,1.53781097560955,-2.418,-1.69269024390246,1.46341634146341
0.20,-0.642111707317085,1.60921951219507,-0.426400000000001,-1.50244634146338,1.15853829268293
0.22,-1.86961365853659,1.78281097560966,1.0699,-0.928056097560898,0.79268463414634
0.24,-1.47852926829269,2.14762195121943,1.664,-1.69269024390246,1.8902456097561
0.26,-2.02644195121952,2.77416463414625,-0.152100000000001,-2.03171463414628,2.50000170731707
0.28,-1.22158731707319,1.93040853658522,-1.417,-2.1195195121951,0.853660243902437
0.30,-1.2156692682927,2.80852439024375,0.201499999999999,-1.64512926829264,-0.0609739024390255
0.32,-1.41688292682927,1.4983719512195,-0.260000000000002,0.129260975609782,0.731709024390243
0.34,-1.30148097560976,2.09085365853639,-1.3468,-0.893909756097514,1.28048951219512
0.36,-1.61809658536586,1.71080487804875,0.946400000000001,-1.91708048780481,1.82927
0.38,-1.5401756097561,2.3699146341462,-1.3897,-1.31830000000002,3.29268463414634
0.40,-1.92484878048782,1.5022560975608,-0.1911,-0.267080487804833,2.25609926829268
0.42,-1.95591853658537,1.85959756097554,-2.0865,-1.51464146341459,2.19512365853658
0.44,-0.212066829268309,1.88200609756086,3.3215,-3.54878780487797,3.23170902439024
0.46,-0.71164878048782,1.29340853658528,1.7251,-1.65244634146336,2.74390414634146
0.48,-1.29161756097562,0.749030487804703,1.7108,-2.58537317073171,2.86585536585366
0.50,-0.410321463414647,0.0525731707316481,-0.135200000000001,0.952431707317146,2.01219682926829
0.52,1.10124682926828,-42.3312317073172,0.677299999999999,-4.87195853658534,14.2073187804878
0.54,21.2714365853658,9.45340243902433,18.5562,-8.61586097560973,-1750.97560804878
0.56,9.63852536585365,18.7902926829267,35.7162,3.41096829268292,-132.987803170732
0.58,-50.9287585365854,-15.2121219512196,-1.8031,-6.32195853658538,257.621952926829
0.60,-27.2718517073171,-1.7559451219513,-17.4694,-1.98903170731705,179.451221219512
0.62,35.0669014634146,37.1697743902437,-9.7773,-1.90244634146336,77.8048797560975
0.64,20.9168468292683,12.2135365853658,-27.7394,-4.00854390243899,23.048782195122
0.66,-25.6152912195122,-28.3393414634147,-44.8357,-4.29025121951213,5.60975780487805
0.68,-10.2367482926829,6.75720731707315,-16.1681,-2.49634878048778,1.28048951219512
0.70,11.8494097560975,54.9271951219512,19.4818,-1.29025121951213,-0.365851951219513
0.72,-27.5564112195122,19.809731707317,8.8569,0.178041463414615,-0.243900731707319
0.74,-44.7256570731707,-23.4049817073172,-11.2619,-5.1256170731707,-0.42682756097561
0.76,9.98966292682925,6.20416463414631,-8.268,-1.56830000000002,-1.82926658536585
0.78,46.1982580487805,24.2409451219512,-0.811200000000001,-2.22805609756097,-2.07316902439024
0.80,5.70943414634145,-24.9873231707319,-18.0895,-2.51586097560971,-0.548778780487806
0.82,-20.0035014634147,-38.3452012195123,-8.398,-0.495129268292658,-0.243900731707319
0.84,7.79899853658536,17.5106158536585,30.2484,0.892675609756111,2.13414804878049
0.86,9.47873804878047,27.6822987804876,47.5462,-1.06951951219514,3.59756268292683
0.88,-27.841463902439,-23.8725731707318,18.46,-3.49025121951217,1.21951390243902
0.90,-15.8332497560976,-31.0997743902441,2.9458,-0.485373170731691,0.731709024390243
0.92,42.0176497560976,7.94874390243899,10.8238,0.0195048780487923,1.28048951219512
0.94,36.8571112195122,-1.53813414634158,2.7092,-0.0512268292682165,1.64634317073171
0.96,-15.6349951219512,-36.7028048780489,-16.5126,-2.14147073170727,2.37805048780488
0.98,-15.239472195122,-10.2598353658537,6.5455,1.33291951219519,3.59756268292683
1.00,8.93920926829267,40.466219512195,34.3018,-2.00000731707314,3.90244073170732
1.02,-13.4176995121951,19.8853231707317,18.8669,-0.180495121951139,1.95122121951219
1.04,-35.0876214634146,-22.5014695121953,-17.8074,-0.628056097560943,1.64634317073171
1.06,6.34710390243902,1.49986585365832,-21.32,-3.52439756097556,2.31707487804878
1.08,39.9695117073171,32.9689207317072,-14.9877,-0.185373170731737,2.43902609756097
1.10,0.738766341463403,-0.898445121951454,-26.8229,-2.99025121951217,3.29268463414634
1.12,-34.7354975609756,-16.5545426829269,-26.7033,-2.38049512195119,2.01219682926829
1.14,-12.7228219512195,33.2945914634145,8.0002,-1.82683658536587,-0.548778780487806
1.16,1.41539658536584,50.013451219512,18.6914,2.0085292682927,0.0609773170731689
1.18,-27.4198029268293,-2.16139024390259,-9.0974,-2.62073902439022,0.487806585365853
1.20,-19.1848380487805,-22.607536585366,-30.1977,-1.17439756097554,0.79268463414634
1.22,32.9867073170732,14.0190670731706,-13.3367,-1.85366585365853,3.17073341463414
1.24,34.8972507317073,12.934195121951,-2.2503,0.325602439024465,2.13414804878049
1.26,-19.6010741463415,-26.405036585366,-10.4624,-0.423178048780414,0.914635853658536
1.28,-27.2250004878049,-14.8987012195123,13.9334,-1.23171463414633,0.54878219512195
1.30,8.8667131707317,31.0358109756096,41.7547,-1.97927560975609,0.54878219512195
1.32,2.17981121951219,11.0954999999999,30.1782,-0.182934146341495,0.670733414634146
1.34,-19.7593819512195,-39.7623170731708,-1.6237,-0.391470731707273,1.34146512195122
1.36,14.2225473170732,-27.0133536585367,-4.2588,-4.0207390243902,0.731709024390243
1.38,47.4883926829268,11.2386158536583,10.0711,0.319504878048861,-0.121949512195123
1.40,11.653127804878,-9.17854878048797,6.4389,-0.346348780487801,-0.487803170731707
1.42,-34.5831078048781,-30.8577621951221,1.7394,2.18535853658534,1.03658707317073
1.44,-15.2922414634146,10.9347560975609,27.0231,0.381700000000023,2.92683097560976
1.46,12.9984975609756,37.7607621951217,30.5487,-1.4280560975609,2.98780658536585
1.48,-9.74604341463416,-5.76318902439039,-3.1499,-3.74390975609754,2.50000170731707
1.50,-16.0246,-29.4998048780488,-32.0684,0.54511463414633,1.95122121951219
1.52,25.539336097561,10.6013170731705,-19.9225,0.537797560975605,2.31707487804878
1.54,27.8606907317073,29.3220060975609,-8.255,2.03291951219512,1.7682943902439
1.56,-26.1617243902439,-3.64603048780498,-18.3079,-1.06830000000002,3.10975780487805
1.58,-41.6245995121951,0.434414634146151,-7.9703,-2.23049512195121,3.84146512195122
