"ID No.","PCD-400A"
"Title",""
"Test Date","2026/04/09","15:59:04"
"MEAS CHs",5
"Digital Input","OFF"
"Sampling Rate(Hz)",50
"Data Nos/CH",9105
"MEAS Time(sec)",182.1
"CH Name"
"CH No.","CH2","CH3","CH5","CH6","CH8"
"Range",2000,1000,5000,5000,5
"Calibration Coefficient",2.022,2.45,2.132,2,100000
"Offset",-97.55164,-1025.034,-15.1463,849.1317,-13.17073
"Unit","cm/s2","cm/s2","cm/s2","cm/s2","V"
0.00,-3.33876926829269,0.908280487804859,2.3881,-5.30244634146334,1.40244073170732
0.02,-3.7032224390244,0.933975609755862,2.5155,-2.07317804878051,2.13414804878049
0.04,-3.78755463414635,2.19154268292664,1.6055,-4.20122682926831,1.15853829268293
0.06,-4.61558829268294,1.81836585365841,1.2818,-2.66464146341457,0.975611463414634
0.08,-4.48933658536586,2.02840853658518,1.2012,-2.63293414634143,1.21951390243902
0.10,-5.34696048780489,-3.35023780487813,2.2633,-1.78171463414628,-137.621949512195
0.12,2.44957560975608,8.03060975609742,0.4329,-2.65732439024384,51.4024407317073
0.14,-8.73652292682928,2.87485365853649,1.1661,-2.65000731707312,25.1219529268293
0.16,-1.94901414634147,4.3317073170731,7.085,-4.65976341463409,12.439026097561
0.18,-10.9957380487805,8.72856097560953,-3.3202,-6.27195853658532,4.08536756097561
0.20,1.25511609756096,5.26360365853657,-6.5832,-4.92073902439017,2.37805048780488
0.22,2.85496195121949,-2.06727439024405,-8.775,-1.30244634146334,1.7073187804878
0.24,-2.30656292682927,8.09992682926827,-6.7483,-2.32561707317075,1.8902456097561
0.26,-6.53303609756098,3.06129268292671,3.107,-4.34756829268292,2.07317243902439
0.28,-11.0307531707317,4.17932926829258,-0.2691,-2.91708048780481,0.731709024390243
0.30,-5.04859219512196,8.77188414634134,4.1431,-2.87927560975606,-0.365851951219513
0.32,-5.78637560975611,5.93257317073153,-5.2403,-3.26708048780483,-0.304876341463416
0.34,-4.83356975609757,-3.29406707317082,7.6661,-6.11829999999998,0.670733414634146
0.36,-1.24378000000002,0.340298780487728,-9.8865,-3.84147073170732,-0.121949512195123
0.38,2.68432487804877,1.76936585365843,2.5519,-5.53659268292677,0.670733414634146
0.40,-0.716087317073189,-0.710810975609775,1.7589,-5.61708048780486,-0.487803170731707
0.42,-8.44210000000001,1.09770731707295,7.6115,-5.44390975609758,-0.792681219512197
0.44,-6.57002390243903,3.7245853658535,3.2071,-8.6780560975609,0.243904146341462
0.46,-2.37264780487806,1.67704268292664,9.2664,-4.92439756097554,0.853660243902437
0.48,0.79104243902438,2.39620731707305,-1.1999,-4.92073902439017,0.853660243902437
0.50,-0.0567180487804961,-2.07026219512204,1.0166,-4.12073902439022,2.13414804878049
0.52,-3.0295512195122,-0.0522987804879449,-0.8307,-6.44025121951222,1.7073187804878
0.54,2.57927951219511,-1.54022560975625,3.3124,-4.75244634146338,0.731709024390243
0.56,-6.61835463414636,5.00635365853645,-2.4297,-4.94025121951222,0.853660243902437
0.58,-3.8644892682927,3.84648780487782,8.7698,-4.88293414634143,1.82927
0.60,-13.5621985365854,2.90204268292678,0.8476,-7.36586097560973,2.25609926829268
0.62,0.0902468292682812,3.66064634146323,1.9019,-4.52439756097556,0.975611463414634
0.64,-3.37477073170733,4.73894512195102,-11.4166,-4.89147073170727,1.40244073170732
0.66,-0.829023414634165,2.20170121951196,2.4713,-3.13903170731703,1.09756268292683
0.68,-6.71156390243904,1.4305487804877,-7.6817,-6.01586097560971,0.365855365853658
0.70,-1.94013707317075,6.65980487804859,2.0982,-7.09756829268292,0.54878219512195
0.72,-8.28675121951221,6.98009756097554,-2.5974,-5.86708048780486,1.46341634146341
0.74,-7.46562195121952,6.57584756097549,0.438099999999999,-4.77317804878044,1.95122121951219
0.76,-5.31884975609758,4.64692073170727,1.833,-7.40122682926824,0.304879756097559
0.78,-3.54540780487805,1.87842073170714,-1.56,-4.76708048780483,-0.609754390243904
0.80,-1.75125268292685,1.81776829268279,-3.1239,-7.6548853658536,0.304879756097559
0.82,-0.690442439024395,0.181646341463193,-2.8327,-5.60854390243901,1.52439195121951
0.84,-1.50220146341465,2.62895731707295,2.6026,-3.5268365853658,1.09756268292683
0.86,-5.74741512195124,0.839262195121819,2.5064,-6.08781219512196,1.7073187804878
0.88,-6.23959951219513,3.15032926829258,6.0892,-2.79634878048773,-0.121949512195123
0.90,-4.23190146341464,5.12945121951202,4.5305,-5.91220243902433,-1.76829097560976
0.92,0.0695336585365709,-0.959396341463616,6.604,-3.73293414634145,-0.914632439024391
0.94,-1.8153648780488,-2.39533536585384,0.8567,-5.09269024390244,0.731709024390243
0.96,1.08053365853658,-1.13806707317087,-0.7514,-4.94025121951222,-0.243900731707319
0.98,-2.27845219512196,2.91100609756086,-0.5564,-5.44147073170734,0.0609773170731689
1.00,-1.64275512195123,1.94325609756083,5.6836,-5.03537317073165,-0.0609739024390255
1.02,-5.51266585365855,3.59192682926823,-0.542100000000001,-4.36829999999998,-1.03658365853659
1.04,-8.15260878048781,2.44192073170711,7.4945,-5.31220243902442,-1.03658365853659
1.06,-5.28383463414636,5.01203048780485,1.8356,-3.32561707317075,0.0609773170731689
1.08,2.87863414634145,2.90383536585364,0.309399999999998,-6.68049512195114,0.121952926829268
1.10,-3.69730439024391,-0.989871951219584,-8.9856,-4.7475682926829,0.54878219512195
1.12,-4.02329024390245,1.86168902439022,3.3111,-4.54512926829261,-0.18292512195122
1.14,-4.2826980487805,7.38434756097558,-4.3628,-4.21586097560976,-1.70731536585366
1.16,-3.4812956097561,6.98308536585364,4.4499,-3.0561048780487,-0.609754390243904
1.18,-11.7152741463415,4.56296341463394,-0.538200000000002,-3.01098292682923,-0.792681219512197
1.20,-4.73493560975611,5.54326219512177,2.4531,-3.4048853658536,-1.28048609756098
1.22,-3.23618975609757,6.13843292682918,-5.187,-4.69634878048782,0.121952926829268
1.24,3.25196439024388,-0.0567804878050993,-1.4027,-5.20488536585367,-0.731705609756098
1.26,-3.38167512195123,1.63551219512192,-7.605,-5.95610487804879,-2.07316902439024
1.28,-4.73740146341464,2.28745121951215,2.6247,-5.8695195121951,0.121952926829268
1.30,-3.81418585365854,4.39893292682905,3.9689,-5.94634878048782,1.09756268292683
1.32,-8.43125024390245,2.15210365853636,5.018,-2.32439756097563,0.121952926829268
1.34,-4.87894146341465,3.23398780487787,4.7047,-7.55488536585358,2.01219682926829
1.36,-3.72294926829269,-1.43804268292695,5.343,-3.90610487804872,0.914635853658536
1.38,2.72279219512194,-0.81030487804901,2.2308,-2.84512926829268,1.15853829268293
1.40,-1.06771804878051,-2.33647560975623,-4.0248,-2.54390975609749,0.304879756097559
1.42,-1.12689853658537,0.109341463414466,-0.2743,-4.2768365853658,0.0609773170731689
1.44,-6.74460634146342,3.28836585365843,6.3713,-2.87317804878046,1.03658707317073
1.46,-5.77453951219513,3.59252439024385,5.7096,-4.85854390243901,2.86585536585366
1.48,-6.58679170731709,3.15301829268287,3.0095,-2.93171463414637,0.914635853658536
1.50,-4.32954926829269,0.971024390243883,-2.1918,-5.96951951219512,0.0609773170731689
1.52,0.672188292682918,3.28866463414624,-0.5837,-6.95122682926831,0.670733414634146
1.54,0.598212682926814,1.76249390243879,-8.3512,-6.55244634146334,-0.731705609756098
1.56,-4.33250829268293,0.354042682926774,-6.2699,-4.46708048780488,0.121952926829268
